,frameNo,topLeft,bottomRight
0,217,"(911, 0)","(1241, 265)"
0,217,"(911, 0)","(1241, 265)"
0,218,"(903, 0)","(1233, 265)"
0,218,"(903, 0)","(1233, 265)"
0,218,"(182, 120)","(512, 385)"
0,218,"(903, 0)","(1233, 265)"
0,218,"(903, 0)","(1233, 265)"
0,218,"(903, 0)","(1233, 265)"
0,219,"(893, 0)","(1225, 267)"
0,219,"(893, 0)","(1225, 267)"
0,219,"(171, 120)","(503, 387)"
0,219,"(893, 0)","(1225, 267)"
0,219,"(893, 0)","(1225, 267)"
0,219,"(893, 0)","(1225, 267)"
0,220,"(885, 0)","(1217, 267)"
0,220,"(885, 0)","(1217, 267)"
0,220,"(187, 130)","(519, 397)"
0,220,"(885, 0)","(1217, 267)"
0,220,"(885, 0)","(1217, 267)"
0,220,"(885, 0)","(1217, 267)"
0,221,"(880, 0)","(1214, 269)"
0,221,"(880, 0)","(1214, 269)"
0,221,"(184, 133)","(518, 402)"
0,221,"(880, 0)","(1214, 269)"
0,221,"(880, 0)","(1214, 269)"
0,221,"(880, 0)","(1214, 269)"
0,222,"(872, 0)","(1206, 269)"
0,222,"(872, 0)","(1206, 269)"
0,222,"(184, 138)","(518, 407)"
0,222,"(872, 0)","(1206, 269)"
0,222,"(872, 0)","(1206, 269)"
0,222,"(872, 0)","(1206, 269)"
0,223,"(862, 0)","(1198, 271)"
0,223,"(862, 0)","(1198, 271)"
0,223,"(176, 141)","(512, 412)"
0,223,"(862, 0)","(1198, 271)"
0,223,"(862, 0)","(1198, 271)"
0,223,"(862, 0)","(1198, 271)"
0,224,"(852, 0)","(1188, 271)"
0,224,"(852, 0)","(1188, 271)"
0,224,"(172, 145)","(508, 416)"
0,224,"(852, 0)","(1188, 271)"
0,224,"(852, 0)","(1188, 271)"
0,224,"(852, 0)","(1188, 271)"
0,225,"(843, 0)","(1181, 273)"
0,225,"(843, 0)","(1181, 273)"
0,225,"(39, 113)","(377, 386)"
0,225,"(843, 0)","(1181, 273)"
0,225,"(843, 0)","(1181, 273)"
0,225,"(843, 0)","(1181, 273)"
0,226,"(836, 0)","(1174, 273)"
0,226,"(836, 0)","(1174, 273)"
0,226,"(128, 120)","(466, 393)"
0,226,"(836, 0)","(1174, 273)"
0,226,"(836, 0)","(1174, 273)"
0,226,"(836, 0)","(1174, 273)"
0,227,"(828, 0)","(1166, 273)"
0,227,"(828, 0)","(1166, 273)"
0,227,"(156, 123)","(494, 396)"
0,227,"(828, 0)","(1166, 273)"
0,227,"(828, 0)","(1166, 273)"
0,227,"(828, 0)","(1166, 273)"
0,228,"(814, 0)","(1152, 273)"
0,228,"(814, 0)","(1152, 273)"
0,228,"(157, 147)","(495, 420)"
0,228,"(814, 0)","(1152, 273)"
0,228,"(814, 0)","(1152, 273)"
0,228,"(814, 0)","(1152, 273)"
0,229,"(802, 0)","(1140, 273)"
0,229,"(802, 0)","(1140, 273)"
0,229,"(156, 153)","(494, 426)"
0,229,"(802, 0)","(1140, 273)"
0,229,"(802, 0)","(1140, 273)"
0,229,"(802, 0)","(1140, 273)"
0,230,"(794, 0)","(1132, 273)"
0,230,"(794, 0)","(1132, 273)"
0,230,"(94, 120)","(432, 393)"
0,230,"(794, 0)","(1132, 273)"
0,230,"(794, 0)","(1132, 273)"
0,230,"(794, 0)","(1132, 273)"
0,231,"(786, 0)","(1124, 273)"
0,231,"(786, 0)","(1124, 273)"
0,231,"(77, 120)","(415, 393)"
0,231,"(786, 0)","(1124, 273)"
0,231,"(786, 0)","(1124, 273)"
0,231,"(786, 0)","(1124, 273)"
0,232,"(776, 0)","(1114, 273)"
0,232,"(776, 0)","(1114, 273)"
0,232,"(144, 134)","(482, 407)"
0,232,"(776, 0)","(1114, 273)"
0,232,"(776, 0)","(1114, 273)"
0,232,"(776, 0)","(1114, 273)"
0,233,"(765, 0)","(1103, 273)"
0,233,"(765, 0)","(1103, 273)"
0,233,"(94, 120)","(432, 393)"
0,233,"(765, 0)","(1103, 273)"
0,233,"(765, 0)","(1103, 273)"
0,233,"(765, 0)","(1103, 273)"
0,234,"(757, 0)","(1095, 273)"
0,234,"(757, 0)","(1095, 273)"
0,234,"(141, 146)","(479, 419)"
0,234,"(757, 0)","(1095, 273)"
0,234,"(757, 0)","(1095, 273)"
